32,0,0,7,17,1
33,16,0,5,17,1
34,32,0,7,17,1
35,48,0,8,17,1
36,64,0,7,17,1
37,80,0,12,17,1
38,96,0,10,17,1
39,112,0,4,17,1
40,128,0,6,17,1
41,144,0,4,17,1
42,160,0,6,17,1
43,176,0,8,17,1
44,192,0,4,17,1
45,208,0,5,17,1
46,224,0,4,17,1
47,240,0,5,17,1
48,256,0,7,17,1
49,272,0,8,17,1
50,288,0,7,17,1
51,304,0,7,17,1
52,320,0,8,17,1
53,336,0,7,17,1
54,352,0,8,17,1
55,368,0,8,17,1
56,384,0,8,17,1
57,400,0,7,17,1
58,416,0,4,17,1
59,432,0,4,17,1
60,448,0,8,17,1
61,464,0,8,17,1
62,480,0,8,17,1
63,496,0,6,17,1
64,512,0,12,17,1
65,528,0,8,17,1
66,544,0,10,17,1
67,560,0,9,17,1
68,576,0,10,17,1
69,592,0,9,17,1
70,608,0,9,17,1
71,624,0,9,17,1
72,640,0,10,17,1
73,656,0,5,17,1
74,672,0,7,17,1
75,688,0,10,17,1
76,704,0,9,17,1
77,720,0,11,17,1
78,736,0,10,17,1
79,752,0,10,17,1
80,768,0,10,17,1
81,784,0,10,17,1
82,800,0,10,17,1
83,816,0,8,17,1
84,832,0,8,17,1
85,848,0,10,17,1
86,864,0,7,17,1
87,880,0,12,17,1
88,896,0,7,17,1
89,912,0,7,17,1
90,928,0,8,17,1
91,944,0,6,17,1
92,960,0,6,17,1
93,976,0,4,17,1
94,992,0,7,17,1
95,1008,0,8,17,1
96,0,17,7,17,1
97,16,17,7,17,1
98,32,17,9,17,1
99,48,17,7,17,1
100,64,17,8,17,1
101,80,17,8,17,1
102,96,17,6,17,1
103,112,17,8,17,1
104,128,17,9,17,1
105,144,17,4,17,1
106,160,17,2,17,1
107,176,17,9,17,1
108,192,17,5,17,1
109,208,17,13,17,1
110,224,17,9,17,1
111,240,17,8,17,1
112,256,17,9,17,1
113,272,17,8,17,1
114,288,17,7,17,1
115,304,17,7,17,1
116,320,17,6,17,1
117,336,17,8,17,1
118,352,17,7,17,1
119,368,17,11,17,1
120,384,17,6,17,1
121,400,17,7,17,1
122,416,17,7,17,1
123,432,17,5,17,1
124,448,17,4,17,1
125,464,17,5,17,1
126,480,17,16,17,1
12288,496,17,16,17,1
12290,512,17,16,17,1
12302,528,17,16,17,1
12303,544,17,16,17,1
12304,560,17,16,17,1
12305,576,17,16,17,1
12310,592,17,16,17,1
12311,608,17,16,17,1
19968,624,17,16,17,1
19969,640,17,16,17,1
19971,656,17,16,17,1
19975,672,17,16,17,1
19976,688,17,16,17,1
19977,704,17,16,17,1
19978,720,17,16,17,1
19979,736,17,16,17,1
19980,752,17,16,17,1
19981,768,17,16,17,1
19982,784,17,16,17,1
19984,800,17,16,17,1
19985,816,17,16,17,1
19987,832,17,16,17,1
19988,848,17,16,17,1
19989,864,17,16,17,1
19990,880,17,16,17,1
19992,896,17,16,17,1
19993,912,17,16,17,1
19994,928,17,16,17,1
19995,944,17,16,17,1
19996,960,17,16,17,1
19997,976,17,16,17,1
19998,992,17,16,17,1
20002,1008,17,16,17,1
20004,0,34,16,17,1
20005,16,34,16,17,1
20007,32,34,16,17,1
20008,48,34,16,17,1
20010,64,34,16,17,1
20011,80,34,16,17,1
20012,96,34,16,17,1
20013,112,34,16,17,1
20016,128,34,16,17,1
20018,144,34,16,17,1
20020,160,34,16,17,1
20022,176,34,16,17,1
20024,192,34,16,17,1
20025,208,34,16,17,1
20026,224,34,16,17,1
20027,240,34,16,17,1
20029,256,34,16,17,1
20030,272,34,16,17,1
20031,288,34,16,17,1
20035,304,34,16,17,1
20037,320,34,16,17,1
20039,336,34,16,17,1
20040,352,34,16,17,1
20041,368,34,16,17,1
20043,384,34,16,17,1
20044,400,34,16,17,1
20045,416,34,16,17,1
20046,432,34,16,17,1
20047,448,34,16,17,1
20048,464,34,16,17,1
20050,480,34,16,17,1
20051,496,34,16,17,1
20052,512,34,16,17,1
20054,528,34,16,17,1
